Response_Code,rt,stim_Code,gainVal,lossVal,Response_Type,stim,rt_sec,Accuracy,Accuracy_inTime
0,330.097945111,0,0.5,0.5,Gain  ,Gain  ,0.330097945111,1,1
0,268.944549129,0,0.5,0.5,Gain  ,Gain  ,0.268944549129,1,1
0,388.773120081,0,0.5,0.5,Gain  ,Gain  ,0.388773120081,1,1
0,288.193803951,0,0.5,0.5,Gain  ,Gain  ,0.288193803951,1,1
0,290.323699826,0,0.5,0.5,Gain  ,Gain  ,0.290323699826,1,1
0,403.953735977,0,0.5,0.5,Gain  ,Gain  ,0.403953735977,1,0
0,307.126942122,0,0.5,0.5,Gain  ,Gain  ,0.307126942122,1,1
0,434.815527536,0,0.5,0.5,Gain  ,Gain  ,0.434815527536,1,0
0,299.852850145,0,0.5,0.5,Gain  ,Gain  ,0.299852850145,1,1
0,387.33179045,0,0.5,0.5,Gain  ,Gain  ,0.38733179045,1,1
0,370.37982711,0,0.5,0.5,Gain  ,Gain  ,0.37037982711,1,1
0,371.456100616,0,0.5,0.5,Gain  ,Gain  ,0.371456100616,1,1
0,358.255337868,0,0.5,0.5,Gain  ,Gain  ,0.358255337868,1,1
0,382.97248253,0,0.5,0.5,Gain  ,Gain  ,0.38297248253,1,1
0,470.215708206,0,0.5,0.5,Gain  ,Gain  ,0.470215708206,1,0
0,307.579913227,0,0.5,0.5,Gain  ,Gain  ,0.307579913227,1,1
0,294.09389118,0,0.5,0.5,Gain  ,Gain  ,0.29409389118,1,1
0,316.645353802,0,0.5,0.5,Gain  ,Gain  ,0.316645353802,1,1
0,219.911753757,0,0.5,0.5,Gain  ,Gain  ,0.219911753757,1,1
0,345.972279189,0,0.5,0.5,Gain  ,Gain  ,0.345972279189,1,1
0,428.588870077,0,0.5,0.5,Gain  ,Gain  ,0.428588870077,1,0
0,380.143415695,0,0.5,0.5,Gain  ,Gain  ,0.380143415695,1,1
0,247.199198063,0,0.5,0.5,Gain  ,Gain  ,0.247199198063,1,1
0,344.433947003,0,0.5,0.5,Gain  ,Gain  ,0.344433947003,1,1
0,461.427244092,0,0.5,0.5,Gain  ,Gain  ,0.461427244092,1,0
0,349.30776384,0,0.5,0.5,Gain  ,Gain  ,0.34930776384,1,1
0,319.521770742,0,0.5,0.5,Gain  ,Gain  ,0.319521770742,1,1
0,259.483807728,0,0.5,0.5,Gain  ,Gain  ,0.259483807728,1,1
0,349.074295851,0,0.5,0.5,Gain  ,Gain  ,0.349074295851,1,1
0,408.089089164,0,0.5,0.5,Gain  ,Gain  ,0.408089089164,1,0
0,265.288456735,0,0.5,0.5,Gain  ,Gain  ,0.265288456735,1,1
0,249.528312629,0,0.5,0.5,Gain  ,Gain  ,0.249528312629,1,1
0,335.549321237,0,0.5,0.5,Gain  ,Gain  ,0.335549321237,1,1
0,366.973997834,0,0.5,0.5,Gain  ,Gain  ,0.366973997834,1,1
0,364.353270065,0,0.5,0.5,Gain  ,Gain  ,0.364353270065,1,1
0,335.135873806,0,0.5,0.5,Gain  ,Gain  ,0.335135873806,1,1
0,364.181716973,0,0.5,0.5,Gain  ,Gain  ,0.364181716973,1,1
0,437.758013974,0,0.5,0.5,Gain  ,Gain  ,0.437758013974,1,0
0,251.210375477,0,0.5,0.5,Gain  ,Gain  ,0.251210375477,1,1
0,334.736437381,0,0.5,0.5,Gain  ,Gain  ,0.334736437381,1,1
0,393.626723292,0,0.5,0.5,Gain  ,Gain  ,0.393626723292,1,1
0,410.545371077,0,0.5,0.5,Gain  ,Gain  ,0.410545371077,1,0
0,415.584257807,0,0.5,0.5,Gain  ,Gain  ,0.415584257807,1,0
0,367.336333147,0,0.5,0.5,Gain  ,Gain  ,0.367336333147,1,1
0,349.661902881,0,0.5,0.5,Gain  ,Gain  ,0.349661902881,1,1
0,418.107951191,0,0.5,0.5,Gain  ,Gain  ,0.418107951191,1,0
0,389.282873049,0,0.5,0.5,Gain  ,Gain  ,0.389282873049,1,1
0,268.428666715,0,0.5,0.5,Gain  ,Gain  ,0.268428666715,1,1
0,271.31659799,0,0.5,0.5,Gain  ,Gain  ,0.27131659799,1,1
0,331.757903196,0,0.5,0.5,Gain  ,Gain  ,0.331757903196,1,1
0,332.787756084,0,0.5,0.5,Gain  ,Gain  ,0.332787756084,1,1
0,317.853561229,0,0.5,0.5,Gain  ,Gain  ,0.317853561229,1,1
0,419.481949435,0,0.5,0.5,Gain  ,Gain  ,0.419481949435,1,0
0,303.544257692,0,0.5,0.5,Gain  ,Gain  ,0.303544257692,1,1
0,267.593155933,0,0.5,0.5,Gain  ,Gain  ,0.267593155933,1,1
0,344.914906358,0,0.5,0.5,Gain  ,Gain  ,0.344914906358,1,1
0,362.75184129,0,0.5,0.5,Gain  ,Gain  ,0.36275184129,1,1
0,359.484102809,0,0.5,0.5,Gain  ,Gain  ,0.359484102809,1,1
0,337.048718386,0,0.5,0.5,Gain  ,Gain  ,0.337048718386,1,1
0,399.492891891,0,0.5,0.5,Gain  ,Gain  ,0.399492891891,1,1
0,306.250420274,0,0.5,0.5,Gain  ,Gain  ,0.306250420274,1,1
0,343.191088432,0,0.5,0.5,Gain  ,Gain  ,0.343191088432,1,1
0,346.991890771,0,0.5,0.5,Gain  ,Gain  ,0.346991890771,1,1
0,378.547914775,0,0.5,0.5,Gain  ,Gain  ,0.378547914775,1,1
0,346.858863929,0,0.5,0.5,Gain  ,Gain  ,0.346858863929,1,1
0,308.175608177,0,0.5,0.5,Gain  ,Gain  ,0.308175608177,1,1
0,276.694585329,0,0.5,0.5,Gain  ,Gain  ,0.276694585329,1,1
0,402.841149991,0,0.5,0.5,Gain  ,Gain  ,0.402841149991,1,0
0,300.935057478,0,0.5,0.5,Gain  ,Gain  ,0.300935057478,1,1
0,249.966040838,0,0.5,0.5,Gain  ,Gain  ,0.249966040838,1,1
0,402.420118088,0,0.5,0.5,Gain  ,Gain  ,0.402420118088,1,0
0,291.615475387,0,0.5,0.5,Gain  ,Gain  ,0.291615475387,1,1
0,274.146594005,0,0.5,0.5,Gain  ,Gain  ,0.274146594005,1,1
0,280.033678591,0,0.5,0.5,Gain  ,Gain  ,0.280033678591,1,1
0,228.138641754,0,0.5,0.5,Gain  ,Gain  ,0.228138641754,1,1
0,350.500640639,0,0.5,0.5,Gain  ,Gain  ,0.350500640639,1,1
0,362.854064659,0,0.5,0.5,Gain  ,Gain  ,0.362854064659,1,1
0,312.111801331,0,0.5,0.5,Gain  ,Gain  ,0.312111801331,1,1
0,260.049561974,0,0.5,0.5,Gain  ,Gain  ,0.260049561974,1,1
0,350.134136489,0,0.5,0.5,Gain  ,Gain  ,0.350134136489,1,1
0,301.221869069,0,0.5,0.5,Gain  ,Gain  ,0.301221869069,1,1
0,329.63543828,0,0.5,0.5,Gain  ,Gain  ,0.32963543828,1,1
0,409.407195395,0,0.5,0.5,Gain  ,Gain  ,0.409407195395,1,0
0,301.657619115,0,0.5,0.5,Gain  ,Gain  ,0.301657619115,1,1
0,301.26302037,0,0.5,0.5,Gain  ,Gain  ,0.30126302037,1,1
0,386.412355566,0,0.5,0.5,Gain  ,Gain  ,0.386412355566,1,1
0,333.506307792,0,0.5,0.5,Gain  ,Gain  ,0.333506307792,1,1
0,330.872448803,0,0.5,0.5,Gain  ,Gain  ,0.330872448803,1,1
0,252.134895582,0,0.5,0.5,Gain  ,Gain  ,0.252134895582,1,1
0,407.092326948,0,0.5,0.5,Gain  ,Gain  ,0.407092326948,1,0
0,308.453651307,0,0.5,0.5,Gain  ,Gain  ,0.308453651307,1,1
0,359.383305444,0,0.5,0.5,Gain  ,Gain  ,0.359383305444,1,1
0,253.291539305,0,0.5,0.5,Gain  ,Gain  ,0.253291539305,1,1
0,360.36748965,0,0.5,0.5,Gain  ,Gain  ,0.36036748965,1,1
0,228.343417567,0,0.5,0.5,Gain  ,Gain  ,0.228343417567,1,1
0,253.929040605,0,0.5,0.5,Gain  ,Gain  ,0.253929040605,1,1
0,337.724282295,0,0.5,0.5,Gain  ,Gain  ,0.337724282295,1,1
0,356.471737431,0,0.5,0.5,Gain  ,Gain  ,0.356471737431,1,1
0,392.538048023,0,0.5,0.5,Gain  ,Gain  ,0.392538048023,1,1
0,275.290746887,0,0.5,0.5,Gain  ,Gain  ,0.275290746887,1,1
0,337.258078678,0,0.5,0.5,Gain  ,Gain  ,0.337258078678,1,1
0,281.956122435,0,0.5,0.5,Gain  ,Gain  ,0.281956122435,1,1
0,389.021457908,0,0.5,0.5,Gain  ,Gain  ,0.389021457908,1,1
0,312.896849532,0,0.5,0.5,Gain  ,Gain  ,0.312896849532,1,1
0,272.82542023,0,0.5,0.5,Gain  ,Gain  ,0.27282542023,1,1
0,265.727891308,0,0.5,0.5,Gain  ,Gain  ,0.265727891308,1,1
0,286.832672545,0,0.5,0.5,Gain  ,Gain  ,0.286832672545,1,1
0,345.687655598,0,0.5,0.5,Gain  ,Gain  ,0.345687655598,1,1
0,257.872228601,0,0.5,0.5,Gain  ,Gain  ,0.257872228601,1,1
0,390.551901811,0,0.5,0.5,Gain  ,Gain  ,0.390551901811,1,1
0,288.145853269,0,0.5,0.5,Gain  ,Gain  ,0.288145853269,1,1
0,248.415121356,0,0.5,0.5,Gain  ,Gain  ,0.248415121356,1,1
0,344.860225003,0,0.5,0.5,Gain  ,Gain  ,0.344860225003,1,1
0,332.891171813,0,0.5,0.5,Gain  ,Gain  ,0.332891171813,1,1
0,358.673273036,0,0.5,0.5,Gain  ,Gain  ,0.358673273036,1,1
0,261.108549912,0,0.5,0.5,Gain  ,Gain  ,0.261108549912,1,1
0,358.237485734,0,0.5,0.5,Gain  ,Gain  ,0.358237485734,1,1
0,272.300129021,0,0.5,0.5,Gain  ,Gain  ,0.272300129021,1,1
0,340.111418915,0,0.5,0.5,Gain  ,Gain  ,0.340111418915,1,1
0,345.852354983,0,0.5,0.5,Gain  ,Gain  ,0.345852354983,1,1
0,332.452132015,0,0.5,0.5,Gain  ,Gain  ,0.332452132015,1,1
0,304.360417414,0,0.5,0.5,Gain  ,Gain  ,0.304360417414,1,1
0,376.451523516,0,0.5,0.5,Gain  ,Gain  ,0.376451523516,1,1
0,285.630697209,0,0.5,0.5,Gain  ,Gain  ,0.285630697209,1,1
0,377.091247911,0,0.5,0.5,Gain  ,Gain  ,0.377091247911,1,1
0,317.503101751,0,0.5,0.5,Gain  ,Gain  ,0.317503101751,1,1
0,341.846402195,0,0.5,0.5,Gain  ,Gain  ,0.341846402195,1,1
0,353.063336759,0,0.5,0.5,Gain  ,Gain  ,0.353063336759,1,1
0,262.006365848,0,0.5,0.5,Gain  ,Gain  ,0.262006365848,1,1
0,381.077504363,0,0.5,0.5,Gain  ,Gain  ,0.381077504363,1,1
0,411.020808064,0,0.5,0.5,Gain  ,Gain  ,0.411020808064,1,0
0,461.825632272,0,0.5,0.5,Gain  ,Gain  ,0.461825632272,1,0
0,263.638441686,0,0.5,0.5,Gain  ,Gain  ,0.263638441686,1,1
0,283.132995453,0,0.5,0.5,Gain  ,Gain  ,0.283132995453,1,1
