subj_idx,context,GroupCount,mean_FC3,mean_FC1,mean_C3,mean_CP3,mean_P1,mean_P3,mean_P5,mean_Pz,mean_Con1,mean_Con2,mean_Con3
139701,FO,3,-0.720630328,-1.846442858,-3.21542263,13.58879058,-6.626893679,-1.893643061,-2.137371063,-4.776096026,-1,1,-1
139701,OF,3,13.43704573,35.87381734,0.975215594,19.88428084,22.11881246,23.54576429,36.85238859,17.70382871,1,-1,-1
139701,OO,3,-1.363152504,2.363612175,-2.880763054,-2.462140083,0.932181994,-7.137643814,-12.31236649,22.33078437,1,1,1
14070,FF,3,28.56413889,6.244207223,2.934328715,-3.689231873,8.290315257,47.27948931,74.18117057,14.64735476,-1,-1,1
14070,FO,3,-0.43034188,0.152445634,52.55318409,35.20409987,11.7190351,-2.707174937,-11.28809738,4.679321607,-1,1,-1
14070,OF,3,-3.956333955,7.812443892,15.34765159,97.34907277,33.5777599,46.33677843,145.5311555,6.205115,1,-1,-1
14070,OO,3,-3.822459698,1.049972057,23.49280845,13.57406616,11.66932895,9.673734029,84.97756746,1.318272909,1,1,1
150751,FF,3,24.50884162,13.6312872,12.22398069,1.532358805,3.9093074,2.1153814,14.84454627,14.90992543,-1,-1,1
150751,FO,3,32.0311932,13.8288046,1.173006376,10.38317871,0.714460929,11.42594512,18.3149137,1.265237729,-1,1,-1
150751,OF,3,26.59544033,13.61987617,31.29242251,28.83100764,36.01057061,31.90306616,33.97370503,35.19068344,1,-1,-1
150751,OO,3,30.49294705,12.14923663,13.60084354,11.86613592,9.585802688,12.04317967,20.50685782,-0.335604429,1,1,1
15081,FF,3,84.88963996,81.72935189,85.06893794,82.42097855,84.12015745,81.31043371,85.36208174,84.22137154,-1,-1,1
15081,FO,3,51.78584968,54.65662342,52.616642,57.77417374,58.97909504,61.51489131,61.24281904,155.2092722,-1,1,-1
15081,OF,3,-40.67756653,-36.58097712,-41.60143407,-39.91227595,-40.99862798,-38.61768977,-41.32210032,-36.81339391,1,-1,-1
15081,OO,3,66.18354458,65.14814462,67.10963313,68.1605924,67.90340127,69.22993342,63.37834761,70.1501486,1,1,1
151760,FF,3,22.64912626,19.63284196,23.55316204,24.63599841,25.924701,26.89868493,28.7014264,22.13028791,-1,-1,1
151760,FO,3,17.89988073,16.63387489,18.74766922,20.93512535,15.6839846,21.5227073,39.85833804,13.4758908,-1,1,-1
151760,OF,3,41.56439675,40.22437435,45.64243105,43.83098539,43.38538673,43.66927158,40.2186434,44.87196424,1,-1,-1
151760,OO,3,-24.31617991,-21.71945127,-24.12170283,-26.85135333,-19.67250903,-25.98414135,-34.03935687,-19.56794262,1,1,1
153770,FF,3,-2.276798884,-3.54386123,18.75078551,-4.021233082,-6.213619391,-4.694637934,-3.393197536,-3.689290444,-1,-1,1
153770,FO,3,21.60901663,29.10574547,39.55261962,32.88489856,28.72030253,33.10537317,59.19723389,25.48732162,-1,1,-1
153770,OF,3,76.73224873,8.937230269,53.56395499,37.69679573,12.46800735,44.85720211,54.33407471,13.07294122,1,-1,-1
153770,OO,3,71.84285461,-0.306080977,23.55724049,2.687777996,15.65289301,3.351896286,28.48861308,9.713469585,1,1,1
160800,FF,3,-30.98714892,4.463038127,-22.78426361,8.512702306,31.21376292,32.80478223,38.78517723,59.51104228,-1,-1,1
160800,FO,3,-99.10938199,41.40113407,-85.22732544,-66.90314802,-56.77920532,115.0357452,128.0498519,17.36874135,-1,1,-1
160800,OF,3,-12.03680102,-33.17982737,-26.30918376,-33.51074537,-33.2054952,52.91261397,61.00832982,-26.3534139,1,-1,-1
160800,OO,3,49.04222128,63.88585493,55.85336728,62.42805545,88.10995399,101.6768203,113.2250686,155.9248505,1,1,1
16080,FF,3,34.84664239,30.97401471,26.14263874,26.27091895,22.32891401,23.45340178,26.9088423,26.1522132,-1,-1,1
16080,FO,3,66.92204624,48.14030499,62.85130268,22.45677694,15.6368173,19.74618403,18.8414561,16.95493317,-1,1,-1
16080,OF,3,110.1591916,103.1095424,24.3725836,98.62095473,33.70870527,39.79208077,41.34705692,98.65344323,1,-1,-1
16080,OO,3,53.17572615,18.372715,139.6280471,114.0699548,9.995800654,68.11429808,58.07554966,48.73745388,1,1,1
17091,FF,3,6.044294516,5.063370493,8.135884338,9.346347809,9.335829311,17.59103251,20.16671069,7.429024643,-1,-1,1
17091,FO,3,12.03293594,11.87301053,-2.102756023,14.31777191,7.725681199,7.180467129,-9.84831508,7.775881079,-1,1,-1
17091,OF,3,6.724157492,6.061687575,-3.111274242,6.681760152,17.19996972,7.810688814,11.56191587,16.08542479,1,-1,-1
17091,OO,3,-0.385812283,6.298095809,-1.063956102,-0.394412994,2.502607663,7.659813722,1.77362299,8.100237793,1,1,1
19101,FF,3,-15.60444895,-16.25293986,31.16611926,29.80366431,31.94410536,28.34668308,79.70600065,27.22617213,-1,-1,1
19101,FO,3,-0.929667155,-7.421653748,-1.23598671,-1.207305908,-1.186810811,0.324162801,1.570055008,-6.021315257,-1,1,-1
19101,OF,3,41.21428087,-6.515640259,44.74402809,-6.587542216,-8.417963664,42.37311639,-8.688522975,0.096759796,1,-1,-1
19101,OO,3,70.52964359,44.03507233,75.21323967,73.49005975,73.51763323,74.84484524,78.57599576,72.59883499,1,1,1
20100,FF,3,9.10102974,-1.809063435,4.446729528,0.319688956,-1.378956715,-1.266589443,-2.688885212,-1.085045139,-1,-1,1
20100,FO,3,3.561759975,3.74827634,4.888982005,4.699628459,6.423226383,4.863377902,16.82154184,15.21656491,-1,1,-1
20100,OF,3,17.58207319,9.785418775,8.754999664,8.379776266,8.645953841,7.630195949,1.797290325,7.753714787,1,-1,-1
20100,OO,3,0.713386615,-0.887714545,-0.187822104,-0.312288761,1.261708975,3.40673546,10.50226302,2.011674603,1,1,1
22110,FF,3,-2.385019223,0.41993161,2.970482032,0.455486695,0.493505398,4.807793114,2.311147147,0.174124281,-1,-1,1
22110,FO,3,1.977349997,9.428653651,6.726673179,1.569227033,1.901524517,10.96586723,2.349557016,1.580926855,-1,1,-1
22110,OF,3,-8.363116503,-2.429017822,-3.62034591,-3.372454882,-4.004137437,-2.452208757,-3.8858519,-1.993845741,1,-1,-1
22110,OO,3,4.72429045,3.825027214,11.20325655,10.76859811,4.385966274,13.62329311,16.18310951,9.814669331,1,1,1
23121,FF,3,77.40495046,57.17311117,57.13725058,59.16707177,57.49732569,59.50267845,57.55773682,56.42110443,-1,-1,1
