subj_idx,context,GroupCount,mean_P1,mean_P3,mean_Pz,mean_CPz,mean_CP2,mean_P2,mean_P4,mean_P6,mean_Con1,mean_Con2,mean_Con3
139701,OO,3,16.87112342,14.44305199,13.56821778,21.78110157,-59.83805545,15.1080158,-43.48316749,-1.928930839,1,1,1
14070,FF,3,18.79059664,37.34361042,28.70234181,-11.86108653,30.76747044,-8.926839352,49.00819021,53.58835069,-1,-1,1
14070,FO,3,32.70897992,17.31424048,30.57461284,22.73507902,17.17286722,36.69617192,27.63289001,4.256813288,-1,1,-1
14070,OF,3,-6.812278748,23.40181957,-12.68652117,0.945334117,0.368703127,-25.69347207,-14.84655778,-22.70640874,1,-1,-1
14070,OO,3,12.80367152,16.27184394,4.836507705,25.3642523,49.29087281,-20.15492964,-32.27729559,-18.78084238,1,1,1
150751,FF,3,31.60474968,-6.226431052,23.67832653,25.08974523,21.48362231,23.99338655,28.9088159,-1.259914173,-1,-1,1
150751,FO,3,-22.08720334,-25.4308308,-4.307243427,-8.302888791,-14.65237276,9.082836747,-19.37411304,-32.89523359,-1,1,-1
150751,OF,3,9.283620199,7.759403388,17.27659504,18.14375117,19.19673292,21.61798092,9.291309476,0.641096181,1,-1,-1
150751,OO,3,-3.774520874,0.761121273,21.22450344,14.01050888,15.36091495,3.552609642,-11.17637662,2.644464374,1,1,1
15081,FF,3,-12.07735944,-8.324901422,30.93565283,30.3280047,55.96040597,2.329987923,15.20437645,68.45859932,-1,-1,1
15081,FO,3,28.41209626,31.87447447,34.41602494,38.10813827,35.52658718,35.85858093,-6.291950822,8.94375668,-1,1,-1
15081,OF,3,43.51896707,52.83725903,7.724651747,4.109483586,49.67839812,49.90804097,43.24820115,52.97819415,1,-1,-1
15081,OO,3,15.81807033,14.39321152,11.07815974,12.88329747,-6.004374146,-5.507411877,26.13295069,-26.49018039,1,1,1
151760,FF,3,-0.903247356,4.648687628,1.111939854,54.89361363,-17.21586339,-1.012102286,-28.2668829,-31.68063025,-1,-1,1
151760,FO,3,9.149704456,8.220378505,1.805926111,25.9288173,-24.66656605,-14.57256079,-1.206961844,-28.48135046,-1,1,-1
151760,OF,3,31.29562171,22.19482512,22.42781713,18.29115759,36.70170387,15.06518719,44.17498345,37.53113878,1,-1,-1
151760,OO,3,21.65854947,-47.56822507,20.43408341,20.92998332,-39.45231549,24.92005385,37.50470808,57.83154992,1,1,1
153770,FF,3,13.14369094,9.633202145,11.78688575,8.835770723,-52.39911379,-18.56977995,32.95863961,13.07633061,-1,-1,1
153770,FO,3,54.73329436,37.65325474,51.86670795,57.837261,61.0961284,14.38482987,39.99413478,38.01464187,-1,1,-1
153770,OF,3,64.27645092,39.4633631,46.37687827,68.90767054,45.87466882,24.35425056,45.74118406,72.86667315,1,-1,-1
153770,OO,3,36.13948078,32.25750278,24.25385556,40.1641068,50.29458676,-8.821641843,51.88736326,44.88968256,1,1,1
160800,FF,3,-36.13225693,-48.98290126,-27.11019123,-24.24265583,-20.98051616,99.00185882,-26.99840236,-20.62710651,-1,-1,1
160800,FO,3,-36.59131346,-52.78517278,-37.88927766,-29.58667159,-35.39508982,23.45086988,-18.46759677,-35.12581078,-1,1,-1
160800,OF,3,-9.914990352,-23.10886468,-13.17798695,-28.43750013,-17.40988182,198.7162698,3.185469071,-0.981246365,1,-1,-1
160800,OO,3,-24.17500307,-17.44368362,-16.35307793,-35.66672778,-31.01142681,50.82847871,-28.87170641,-17.35599661,1,1,1
16080,FF,3,-1.293713901,27.81428364,3.715322177,6.006618765,5.539407412,-1.684049269,-1.752641784,-34.05197016,-1,-1,1
