subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,Ave_TF
12061,1,B,125,OF,0.274,1,1,1,1,Gain  ,1,2,799.6622,799.9362,-6.6715852013764
12061,1,B,126,OF,0.278,-1,1,1,-1,NoLoss,1,2,803.7322,804.0103,3.42348658574847
12061,1,B,128,OF,0.344,-1,1,1,-1,NoLoss,1,1,810.8212,811.1652,-6.81985394316047
12061,1,B,129,OF,0.265,1,1,1,1,Gain  ,1,1,814.6252,814.8903,-0.90480611599467
12061,1,B,130,OF,0.378,2,0,0,-1,Cntrl ,-0.5,2,818.5442,818.9222,2.5636515756864
12061,1,B,131,OF,0.303,1,1,1,1,Gain  ,1,2,822.5982,822.9012,-2.97201736964047
12061,1,B,133,OF,0.399,-1,1,1,-1,NoLoss,1,1,830.9882,831.3872,0.130772562887396
12061,1,B,134,OF,0.405,1,1,0,1,Gain  ,-0.5,1,834.7752,835.1802,2.33701711740017
12061,1,B,135,OF,0.482,-1,0,0,0,NoLoss,0,1,839.2122,839.6942,-5.49033409404713
12061,1,B,136,OF,0.493,1,1,0,1,Gain  ,-0.5,2,842.8982,843.3912,-4.2145942598145
12061,1,B,138,OF,0.306,-1,1,1,-1,NoLoss,1,2,850.4712,850.7772,-0.302515147163668
12061,1,B,139,OF,0.403,0,1,0,0,Cntrl ,0,1,854.7252,855.1282,1.61157563065961
12061,1,B,140,OF,0.418,-1,1,0,-1,NoLoss,-0.5,1,858.5612,858.9792,-5.59106588943141
12061,1,B,141,OF,0.309,1,1,1,1,Gain  ,1,1,862.2312,862.5402,3.84840343325057
12061,1,B,142,OF,0.336,-1,1,1,-1,NoLoss,1,2,866.4682,866.8042,-4.74309487122869
12061,1,B,143,OF,0.293,1,1,1,1,Gain  ,1,2,870.0212,870.3143,-0.0983231170643144
12061,2,A,1,OO,0.399,2,0,0,-1,Cntrl ,-1,1,918.3452,918.7442,1.24476688451215
12061,2,A,2,OO,0.303,0,1,1,0,Cntrl ,0,1,922.1982,922.5012,0.816249519491573
12061,2,A,3,OO,0.252,1,1,1,1,Gain  ,1,1,925.7512,926.0032,2.40938563909607
12061,2,A,4,OO,0.349,2,0,0,-1,Cntrl ,-1,2,929.5212,929.8702,8.11082335932194
12061,2,A,5,OO,0.328,0,1,1,0,Cntrl ,0,2,933.6082,933.9362,-0.108158617258467
12061,2,A,6,OO,0.26,1,1,1,1,Gain  ,1,2,937.2282,937.4882,8.53107268316566
12061,2,A,7,OO,0.348,-1,1,1,-1,NoLoss,1,1,941.2482,941.5962,2.41115748643939
12061,2,A,8,OO,0.379,0,1,1,0,Cntrl ,0,1,945.0172,945.3962,3.73543800926172
12061,2,A,9,OO,0.274,1,1,1,1,Gain  ,1,1,948.8382,949.1122,5.84481963852534
12061,2,A,10,OO,0.456,-1,1,0,-1,NoLoss,-1,2,953.0412,953.4972,-1.19814527922959
12061,2,A,11,OO,0.497,1,1,0,1,Gain  ,-1,2,957.4942,957.9912,-1.26255070347084
12061,2,A,12,OO,0.343,0,1,1,0,Cntrl ,0,2,961.3812,961.7242,0.42181760571289
12061,2,A,13,OO,0.327,-1,1,1,-1,NoLoss,1,1,965.5012,965.8282,-3.58195994464787
12061,2,A,14,OO,0.284,1,0,0,0,Gain  ,0,1,969.6552,969.9392,2.01051317602948
12061,2,A,15,OO,0.332,1,1,1,1,Gain  ,1,1,973.9252,974.2571,3.06548771653468
12061,2,A,16,OO,0.446,0,1,0,0,Cntrl ,0,2,978.1952,978.6412,2.19071848294281
12061,2,A,17,OO,0.36,1,1,1,1,Gain  ,1,2,982.5822,982.9422,-4.64544441308757
12061,2,A,18,OO,0.491,-1,1,0,-1,NoLoss,-1,2,986.1182,986.6093,-3.18468010070505
12061,2,A,20,OO,0.318,1,1,1,1,Gain  ,1,1,993.5082,993.8262,-3.54641767600702
12061,2,A,21,OO,0.401,-1,1,0,-1,NoLoss,-1,1,997.0782,997.4792,6.6022272375006
12061,2,A,22,OO,0.314,0,1,1,0,Cntrl ,0,2,1001.214,1001.528,-0.0807390584900252
12061,2,A,23,OO,0.379,-1,1,1,-1,NoLoss,1,2,1004.667,1005.046,-6.43932511301428
12061,2,A,24,OO,0.331,1,1,1,1,Gain  ,1,2,1009.004,1009.335,5.16200967146419
12061,2,A,25,OO,0.368,-1,1,1,-1,NoLoss,1,1,1012.624,1012.992,-0.763366114250452
12061,2,A,26,OO,0.335,2,0,0,1,Cntrl ,-1,1,1016.794,1017.129,4.97772859006252
12061,2,A,27,OO,0.359,0,1,1,0,Cntrl ,0,1,1020.414,1020.773,-3.81836706815043
