subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,140,OF,0.418,-1,1,0,-1,NoLoss,-0.5,1,858.5612,858.9792,4.971286799,0.339616191
12061,1,B,141,OF,0.309,1,1,1,1,Gain  ,1,1,862.2312,862.5402,2.414841124,3.058344406
12061,1,B,142,OF,0.336,-1,1,1,-1,NoLoss,1,2,866.4682,866.8042,0.425709169,-1.230298371
12061,1,B,143,OF,0.293,1,1,1,1,Gain  ,1,2,870.0212,870.3143,-1.761476962,-5.066240791
12061,2,A,1,OO,0.399,2,0,0,-1,Cntrl ,-1,1,918.3452,918.7442,0.978669063,-1.852030843
12061,2,A,2,OO,0.303,0,1,1,0,Cntrl ,0,1,922.1982,922.5012,-0.453708988,0.855280259
12061,2,A,3,OO,0.252,1,1,1,1,Gain  ,1,1,925.7512,926.0032,2.887873377,2.229127499
12061,2,A,4,OO,0.349,2,0,0,-1,Cntrl ,-1,2,929.5212,929.8702,4.338858274,-3.549558989
12061,2,A,5,OO,0.328,0,1,1,0,Cntrl ,0,2,933.6082,933.9362,1.768502952,3.079282219
12061,2,A,6,OO,0.26,1,1,1,1,Gain  ,1,2,937.2282,937.4882,1.96385136,0.212295638
12061,2,A,7,OO,0.348,-1,1,1,-1,NoLoss,1,1,941.2482,941.5962,0.024662639,1.010776346
12061,2,A,8,OO,0.379,0,1,1,0,Cntrl ,0,1,945.0172,945.3962,1.910691413,-1.30030734
12061,2,A,9,OO,0.274,1,1,1,1,Gain  ,1,1,948.8382,949.1122,-1.593509969,-2.18490796
12061,2,A,10,OO,0.456,-1,1,0,-1,NoLoss,-1,2,953.0412,953.4972,4.950739814,3.507024088
12061,2,A,11,OO,0.497,1,1,0,1,Gain  ,-1,2,957.4942,957.9912,0.791632858,1.894437355
12061,2,A,12,OO,0.343,0,1,1,0,Cntrl ,0,2,961.3812,961.7242,-0.434451397,1.46280644
12061,2,A,13,OO,0.327,-1,1,1,-1,NoLoss,1,1,965.5012,965.8282,-1.723593719,2.586369989
