subj_idx,context,GroupCount,mean_F1,mean_AF8,mean_AF4,mean_F2,mean_F4,mean_F6,mean_F8,mean_FC2,mean_FCz,mean_Con1,mean_Con2,mean_Con3
24120,FO,3,24.94769014,-54.08831628,11.93349385,27.85595812,24.84477727,-52.18533794,-190.5523582,23.88743093,36.50938816,-1,1,-1
24120,OF,3,-13.08536585,-32.49494394,10.86910669,-20.21949188,-24.65477165,-28.5967807,-59.09227832,-10.76588917,-3.333288272,1,-1,-1
24120,OO,3,-1.042859581,34.10749446,31.81958954,16.50778561,17.81328885,36.26781064,42.04946534,16.86923991,17.6696385,1,1,1
25130,FF,3,22.61918259,-26.08212662,10.25797904,18.82299721,23.56267034,10.8649334,34.66877241,17.16051458,16.82339601,-1,-1,1
25130,FO,3,21.43953451,18.10581419,1.194950064,9.50853924,-14.85255257,-7.216463844,56.2337571,10.09497872,14.89157482,-1,1,-1
25130,OF,3,7.667682648,19.01144536,0.258280317,-17.11112336,-6.880912304,17.28744418,27.45908099,-10.69108784,-13.87743199,1,-1,-1
25130,OO,3,5.292561849,-42.33598455,7.651526093,-0.488747478,-38.85267464,32.7735274,19.42736051,3.234719343,5.672676682,1,1,1
26131,FF,3,28.4444628,6.293456713,25.99956957,17.92469803,11.35095326,12.17867197,5.20268427,13.37313318,11.63638896,-1,-1,1
26131,FO,3,-10.46161993,5.160792775,88.22698784,24.82517131,-9.901997089,-7.729834159,20.96949972,0.216067791,1.197858095,-1,1,-1
26131,OF,3,23.13633445,64.79352495,13.02516111,19.47389873,22.80807161,19.85079492,24.04867758,20.98239152,26.04081326,1,-1,-1
26131,OO,3,22.67143856,3.291195658,-20.96215121,21.01694377,23.24936819,-1.155740288,-1.649087032,24.13910309,30.58399818,1,1,1
27140,FF,3,71.2829121,166.8857409,110.0523883,76.34960328,68.73069196,59.99045981,11.13417236,44.12305774,58.82974301,-1,-1,1
27140,FO,3,-13.39905691,26.58454005,-0.415323681,110.7741898,-3.111593299,0.590368536,-10.83075786,46.43831184,-3.956544823,-1,1,-1
27140,OF,3,8.651411215,-4.090872447,9.217326482,21.35667213,18.55936607,6.057932695,43.19621809,18.00005547,11.37217792,1,-1,-1
27140,OO,3,32.96931569,-11.72416306,-51.01167488,44.04475503,45.23009295,60.19312196,59.79180042,37.49666156,31.74097893,1,1,1
28141,FF,3,-8.738769253,-12.77034708,12.4390503,-11.77036572,19.8259502,14.66281716,19.23396646,-16.47796377,-10.16514047,-1,-1,1
28141,FO,3,-11.84465826,5.505001081,-3.682212035,-10.80904579,-2.962902705,-4.347632885,-4.475517114,-13.92587852,-14.41169389,-1,1,-1
28141,OF,3,23.15268783,14.70117568,19.15127028,22.75379965,21.91148843,16.70596075,22.55660031,24.59928894,22.64262337,1,-1,-1
28141,OO,3,16.51971614,-16.23095381,15.45435741,16.93708526,17.04978667,-11.19208479,17.69380024,-6.151758194,16.190565,1,1,1
29150,FF,3,-34.34777085,-16.30486798,-27.76528184,-28.11941179,-21.29337486,-11.07816736,-10.52493731,-14.71731297,-21.68677711,-1,-1,1
29150,FO,3,-17.84217215,-12.54914085,-12.66321707,-12.01369254,-15.78820721,-16.03338599,-13.54010137,-21.02034616,-24.0223128,-1,1,-1
29150,OF,3,38.19265869,29.7070974,33.11017052,36.95410103,37.23919196,27.55136731,24.25757366,34.27898836,42.31361538,1,-1,-1
29150,OO,3,45.88419347,32.78621735,48.41669766,52.5532181,40.84096628,31.78414549,34.51663314,41.55643924,50.28225814,1,1,1
30151,FF,3,18.10840935,-6.25413233,1.205164115,14.59147972,0.276281118,-3.188914498,-4.725014607,6.832419038,19.97352664,-1,-1,1
30151,FO,3,27.64594576,-0.870402634,13.96481562,19.8909269,8.574812386,4.457895478,2.686788321,4.810008963,12.5457255,-1,1,-1
30151,OF,3,-5.24815019,7.268842532,-3.025591373,6.457306643,4.381273084,-0.093447328,0.514811595,-3.406112154,-5.042722066,1,-1,-1
30151,OO,3,8.213526514,3.737497813,4.616464456,3.385683993,5.128646983,7.2174745,8.443503936,2.009326498,-1.135214488,1,1,1
36181,FF,3,5.259050528,6.065597296,30.44875683,35.65258153,33.32102905,20.69446251,10.35293535,50.19792544,-2.831737598,-1,-1,1
36181,FO,3,3.532751136,-8.073162158,-17.27498221,7.107229869,-19.65598941,-14.38938411,-2.780376712,15.79857903,2.590891494,-1,1,-1
36181,OF,3,63.48068794,-1.894667864,8.509765916,14.50657272,11.65868688,0.614761617,-0.578695655,6.277975851,30.69365949,1,-1,-1
36181,OO,3,34.27390612,-0.721601089,37.49079294,11.4217364,25.20402593,4.788268354,-10.99426941,2.221582174,54.71361417,1,1,1
37191,FF,3,8.88580717,-12.8443021,6.125796583,31.74368858,29.86418711,-1.514367739,2.366247296,36.68638441,37.36003049,-1,-1,1
37191,FO,3,44.50219205,-11.58508865,-0.358976417,20.99265099,28.67702789,13.84962368,5.932614684,0.911986033,5.645235062,-1,1,-1
37191,OF,3,17.7470679,10.27319519,44.25874779,22.07852491,16.07696838,7.443692207,5.199127237,10.20203145,40.23598162,1,-1,-1
37191,OO,3,0.862592459,0.590088288,-13.50055901,-9.731563568,-13.79432336,-3.979006131,-3.899068077,12.65284136,-14.61234474,1,1,1
39201,FF,3,7.893498023,34.57413154,23.60447719,10.50101789,7.252693017,8.69913276,21.46893631,32.51807822,12.20433866,-1,-1,1
39201,FO,3,0.526290019,15.75821357,-22.43552446,7.280272802,-25.57045794,-18.93976323,-18.29749751,-5.989018917,-11.19853417,-1,1,-1
39201,OF,3,42.14574758,0.041035016,46.30845743,13.12467384,5.295013587,4.876917044,-17.996653,39.93809345,31.63388957,1,-1,-1
39201,OO,3,-25.06765644,12.25271469,-5.855953693,-3.934315364,-5.590425332,-8.504309177,10.27176409,-14.41096767,-8.221160412,1,1,1
44220,FF,3,-15.06713808,27.18128975,-16.600197,36.22238657,-10.76227045,22.31041484,-7.05938975,-21.55886825,-10.1196748,-1,-1,1
44220,FO,3,19.67872364,1.397873004,23.12723197,42.43512715,12.03372579,11.24345165,-16.08707428,30.62404426,6.930949913,-1,1,-1
44220,OF,3,31.21746446,20.13879784,-20.27749968,-10.64788342,-7.42310063,71.96480497,46.17962265,19.18447161,-5.683899999,1,-1,-1
44220,OO,3,31.05555599,48.21452848,44.10031727,31.44918813,38.58676142,32.93713146,21.04349264,38.26864926,24.50584691,1,1,1
45231,FF,3,0.93244648,107.3311223,-16.2801226,26.84516133,32.72031387,-8.05417943,68.58860426,-17.23883136,4.28872527,-1,-1,1
45231,FO,3,32.5809395,139.1004857,51.20083041,30.25293467,50.31951125,74.92828981,93.95330967,20.63000419,15.08237494,-1,1,-1
45231,OF,3,-20.93494829,41.25979005,-17.874029,-29.45133877,45.5070316,16.34265669,17.87126189,-32.42023738,-37.97945547,1,-1,-1
45231,OO,3,8.462345229,-66.31621345,15.17431964,-5.025515556,80.16022507,-40.21829025,-48.99036702,6.504601002,9.15657409,1,1,1
47241,FF,3,10.21894333,85.76888265,12.88256902,8.449613611,12.70677996,10.25853292,-2.058770657,5.779151917,4.2542153,-1,-1,1
47241,FO,3,13.30603509,74.32941935,24.92865623,-0.010625799,2.505809142,3.119941314,3.4148807,0.010457834,3.138449728,-1,1,-1
47241,OF,3,3.967889733,-7.24570179,16.11506936,-4.732215683,-1.210217973,0.45634373,4.288037565,2.335552057,12.35316302,1,-1,-1
47241,OO,3,0.42013216,-20.1716458,9.646733681,8.629556934,6.339903348,13.64901185,-6.031943162,6.842794577,-4.16109703,1,1,1
48240,FF,3,39.09484821,214.7570782,256.1275109,136.6593675,325.9244711,418.6045623,172.5128966,24.81402424,287.0856357,-1,-1,1
48240,FO,3,48.81748496,-253.7754167,-484.4214223,-199.7234357,-381.5875181,-483.0191784,-93.76769638,34.2694406,362.7657505,-1,1,-1
48240,OF,3,-2.074426015,23.12393252,194.9811893,462.072912,774.9469888,919.7031973,326.5975973,45.66597149,973.4613546,1,-1,-1
48240,OO,3,54.35782072,-306.927201,-404.1104889,-23.94841131,-465.4827817,148.2849823,-136.2948469,32.52836699,215.4434441,1,1,1
49250,FF,3,8.788778941,-18.51623329,14.78570271,56.71230984,31.08846182,0.8268013,-21.28358698,-10.15678755,-7.201094627,-1,-1,1
49250,FO,3,4.607147217,-22.37545061,27.50955359,29.93192132,15.53979773,8.937826369,50.21835746,-10.17937374,12.6594589,-1,1,-1
49250,OF,3,22.05595779,4.596249527,13.47191334,5.910358111,22.44450278,12.49317445,31.85760535,2.453614659,15.67439853,1,-1,-1
49250,OO,3,12.95832189,5.675242371,6.348727226,-32.5757494,-12.408065,3.740279728,-23.23914194,11.18942081,13.00400617,1,1,1
50251,FF,3,-1.693126678,6.756276475,-1.453302317,-10.3678666,-7.367674033,14.98551501,-3.00487211,-10.57932907,-10.81708246,-1,-1,1
50251,FO,3,-29.35452652,-8.326909304,-31.43199281,-24.00408483,-23.16144927,6.861340794,-5.767343521,-35.24385802,-42.76310841,-1,1,-1
50251,OF,3,-6.698387782,-42.31437198,24.49777464,3.441666365,13.30359793,6.410107791,-1.942766507,-0.013752302,-5.300267061,1,-1,-1
50251,OO,3,-35.52479617,5.612243679,-19.24465954,-24.86051742,-24.50237449,-0.686434567,-0.461049398,-18.84917863,-21.11982044,1,1,1
51260,FF,3,-13.45125755,8.145539549,17.77401166,67.32837603,88.29553562,-1.300388018,26.90653133,54.84489017,4.833573818,-1,-1,1
51260,FO,3,-33.07781776,50.76046112,-13.17550961,-46.8459781,-59.62435659,-59.71682262,19.20963828,-25.80425135,-27.04651594,-1,1,-1
51260,OF,3,-20.24263302,17.77206797,9.570164416,14.8978548,15.04515076,-38.6143535,4.868187269,-10.63699214,-11.84685469,1,-1,-1
51260,OO,3,27.29398563,-20.71867768,32.30845637,82.24144671,46.45825365,70.68335629,21.6298488,11.27138117,52.83007415,1,1,1
53270,FF,3,-0.901030143,76.44151635,-5.159464518,-6.572542508,-15.60521392,-10.42475613,-11.37789448,-17.57000136,-13.58315794,-1,-1,1
53270,FO,3,-3.303678433,88.60666222,-1.313470205,10.26819367,8.183980319,12.22336062,7.777246237,20.19314212,13.80935184,-1,1,-1
53270,OF,3,-11.8642029,-49.2507747,-7.834268146,-2.519037777,0.805322025,-3.586331129,24.85062877,-8.231924507,-9.937704643,1,-1,-1
53270,OO,3,-47.39734292,23.01480431,-41.26243401,-44.54741255,-37.58001133,-34.73610457,-15.74449929,-47.26039322,-53.72322504,1,1,1
54271,FF,3,4.424513393,41.9620417,14.98746475,4.154938009,131.1739161,-24.81686325,-28.89897781,-15.97941531,10.9107066,-1,-1,1
54271,FO,3,-7.489689191,-63.80354579,-14.23684899,-11.36869351,114.0529851,-20.28806705,-60.74163808,-71.96577787,-6.53049922,-1,1,-1
54271,OF,3,45.19529671,-30.15350962,-12.42578808,28.71045595,212.9542955,-10.68655833,-33.62185404,-36.02290985,-10.77536527,1,-1,-1
54271,OO,3,26.3989456,-145.4790177,-52.01950884,12.93535895,29.79711342,-52.9532311,-100.1663052,-65.00639677,28.01494559,1,1,1
56281,FF,3,5.537989457,-4.052708983,26.66497368,-9.635475,-12.69399802,-5.97582682,63.90231429,-23.11288643,-26.531353,-1,-1,1
56281,FO,3,8.910753091,2.61235551,-3.776736895,-2.897030989,-2.807072004,-1.367390235,24.77360132,-7.26763471,-5.993147532,-1,1,-1
56281,OF,3,-0.320749124,1.444115096,11.09023847,-1.77638536,2.668796221,0.923093822,-33.38987414,-2.829199473,-5.456784142,1,-1,-1
56281,OO,3,10.4283398,-6.053434889,-9.402774493,-16.96440808,-5.617426236,-3.022293965,95.73186345,-15.03819529,-26.1485405,1,1,1
58291,FF,3,15.73249825,-0.845562379,0.385974924,8.18073837,-1.479319771,-4.292533159,-5.572856704,10.82282231,19.24612967,-1,-1,1
58291,FO,3,16.28142465,-8.631782929,17.58157223,55.07459368,22.19651727,0.807406452,-5.624672532,-20.77436018,7.68850867,-1,1,-1
58291,OF,3,64.84787578,21.63120982,48.24509047,43.06764966,27.7606703,16.68403114,0.119169593,40.71791993,-1.243202527,1,-1,-1
58291,OO,3,6.607086261,5.411146667,19.39800137,6.889890591,4.678668459,2.448703157,-1.357861612,-10.77838341,-4.774082502,1,1,1
60301,FF,3,-6.336498618,5.764674723,-11.37574915,-16.0638361,-12.45257092,-2.505773412,4.140875465,14.05799614,21.61263572,-1,-1,1
