subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,1,B,106,FF,0.294,1,1,1,1,Gain  ,0.5,2,714.3082,714.6022,-3.551641092,-6.94989691
12061,1,B,107,FF,0.373,0,1,1,0,Cntrl ,0,2,718.2782,718.6512,2.990807624,-1.704634638
12061,1,B,108,FF,0.33,-1,1,1,-1,NoLoss,0.5,2,721.7472,722.0772,-7.426073324,-4.311291937
12061,1,B,110,OF,0.362,1,1,1,1,Gain  ,1,1,743.2652,743.6272,1.96530398,-4.436095893
12061,1,B,111,OF,0.31,0,1,1,0,Cntrl ,0,1,747.1182,747.4282,-2.19915008,3.554812321
12061,1,B,112,OF,0.32,-1,1,1,-1,NoLoss,1,2,751.0382,751.3582,-1.952019258,0.681637092
12061,1,B,113,OF,0.482,0,1,0,0,Cntrl ,0,2,754.5912,755.0732,-8.665606026,-2.340648884
12061,1,B,114,OF,0.317,1,1,1,1,Gain  ,1,2,758.8782,759.1953,-0.43549033,-4.371639413
12061,1,B,115,OF,0.322,-1,0,0,0,NoLoss,0,1,762.6812,763.0032,3.426750186,-3.277235045
12061,1,B,116,OF,0.38,2,0,0,1,Cntrl ,-0.5,1,766.2012,766.5812,4.196499918,2.69765552
12061,1,B,117,OF,0.264,-1,1,1,-1,NoLoss,1,1,770.5882,770.8522,1.165822477,-2.472195889
12061,1,B,118,OF,0.348,0,1,1,0,Cntrl ,0,2,774.1242,774.4722,-0.384452477,4.121659475
12061,1,B,119,OF,0.24,1,1,1,1,Gain  ,1,2,777.8442,778.0842,3.636668881,0.418577274
12061,1,B,120,OF,0.275,-1,1,1,-1,NoLoss,1,2,781.2472,781.5222,1.525397117,7.410702737
12061,1,B,121,OF,0.316,0,1,1,0,Cntrl ,0,1,784.7332,785.0492,2.276395378,2.190129375
12061,1,B,122,OF,0.263,1,1,1,1,Gain  ,1,1,788.5032,788.7662,-1.850217826,0.885547871
12061,1,B,123,OF,0.37,2,0,0,-1,Cntrl ,-0.5,1,791.8892,792.2592,1.457822063,2.642480021
12061,1,B,124,OF,0.422,0,1,0,0,Cntrl ,0,2,796.1262,796.5482,-3.161322476,0.285675997
12061,1,B,125,OF,0.274,1,1,1,1,Gain  ,1,2,799.6622,799.9362,-1.878144047,-2.727214563
12061,1,B,126,OF,0.278,-1,1,1,-1,NoLoss,1,2,803.7322,804.0103,1.14747292,-2.319091802
12061,1,B,128,OF,0.344,-1,1,1,-1,NoLoss,1,1,810.8212,811.1652,-2.573451499,-3.707053279
12061,1,B,129,OF,0.265,1,1,1,1,Gain  ,1,1,814.6252,814.8903,3.127333672,-1.915593041
12061,1,B,130,OF,0.378,2,0,0,-1,Cntrl ,-0.5,2,818.5442,818.9222,-5.423278387,-1.662158856
12061,1,B,131,OF,0.303,1,1,1,1,Gain  ,1,2,822.5982,822.9012,1.449024355,0.824928025
12061,1,B,133,OF,0.399,-1,1,1,-1,NoLoss,1,1,830.9882,831.3872,-2.293862571,0.810142481
12061,1,B,134,OF,0.405,1,1,0,1,Gain  ,-0.5,1,834.7752,835.1802,4.500886361,1.918362109
12061,1,B,135,OF,0.482,-1,0,0,0,NoLoss,0,1,839.2122,839.6942,-2.134143068,-3.103595675
12061,1,B,136,OF,0.493,1,1,0,1,Gain  ,-0.5,2,842.8982,843.3912,-1.354049961,0.815540576
12061,1,B,138,OF,0.306,-1,1,1,-1,NoLoss,1,2,850.4712,850.7772,-0.848905185,0.189985575
12061,1,B,139,OF,0.403,0,1,0,0,Cntrl ,0,1,854.7252,855.1282,-1.262850913,0.32562703
12061,1,B,140,OF,0.418,-1,1,0,-1,NoLoss,-0.5,1,858.5612,858.9792,6.413152334,1.174990748
12061,1,B,141,OF,0.309,1,1,1,1,Gain  ,1,1,862.2312,862.5402,-2.547929949,1.076812366
12061,1,B,142,OF,0.336,-1,1,1,-1,NoLoss,1,2,866.4682,866.8042,-3.106795673,-6.087665912
12061,1,B,143,OF,0.293,1,1,1,1,Gain  ,1,2,870.0212,870.3143,1.960997134,-1.817724839
12061,2,A,1,OO,0.399,2,0,0,-1,Cntrl ,-1,1,918.3452,918.7442,-3.76484906,-6.220602358
12061,2,A,2,OO,0.303,0,1,1,0,Cntrl ,0,1,922.1982,922.5012,6.53373328,2.121493089
12061,2,A,3,OO,0.252,1,1,1,1,Gain  ,1,1,925.7512,926.0032,1.402329859,-0.393911996
12061,2,A,4,OO,0.349,2,0,0,-1,Cntrl ,-1,2,929.5212,929.8702,-1.096250111,-3.512966725
12061,2,A,5,OO,0.328,0,1,1,0,Cntrl ,0,2,933.6082,933.9362,3.447902168,3.96103355
12061,2,A,6,OO,0.26,1,1,1,1,Gain  ,1,2,937.2282,937.4882,-0.288657288,-5.349409375
12061,2,A,7,OO,0.348,-1,1,1,-1,NoLoss,1,1,941.2482,941.5962,0.790226385,-1.394161312
12061,2,A,8,OO,0.379,0,1,1,0,Cntrl ,0,1,945.0172,945.3962,-4.020181424,2.27179406
12061,2,A,9,OO,0.274,1,1,1,1,Gain  ,1,1,948.8382,949.1122,0.800628022,4.414687786
12061,2,A,10,OO,0.456,-1,1,0,-1,NoLoss,-1,2,953.0412,953.4972,-2.622010203,-2.287760023
12061,2,A,11,OO,0.497,1,1,0,1,Gain  ,-1,2,957.4942,957.9912,0.038909509,3.204697691
12061,2,A,12,OO,0.343,0,1,1,0,Cntrl ,0,2,961.3812,961.7242,-4.760336366,-3.65789395
12061,2,A,13,OO,0.327,-1,1,1,-1,NoLoss,1,1,965.5012,965.8282,-3.303211553,1.491183391
12061,2,A,14,OO,0.284,1,0,0,0,Gain  ,0,1,969.6552,969.9392,0.903053368,-2.956777269
12061,2,A,15,OO,0.332,1,1,1,1,Gain  ,1,1,973.9252,974.2571,3.688334806,4.005124806
12061,2,A,16,OO,0.446,0,1,0,0,Cntrl ,0,2,978.1952,978.6412,5.319590013,1.567297479
