subj_idx,Trial,Response_Counterbalanced,CorrectResponse_Counterbalanced,rt,rt_sec,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount
1011,163,2,2,255,0.255,1,1,Cntrl ,Cntrl ,1
1011,164,1,1,233,0.233,1,1,Gain  ,Gain  ,1
1011,165,3,3,112,0.112,1,1,NoLoss,NoLoss,1
1011,166,2,2,171,0.171,1,1,Cntrl ,Cntrl ,1
1011,167,1,3,95,0.095,0,0,NoLoss,Gain  ,1
1011,168,1,1,356,0.356,1,1,Gain  ,Gain  ,1
1011,169,2,2,271,0.271,1,1,Cntrl ,Cntrl ,1
1011,170,1,1,468,0.468,1,0,Gain  ,Gain  ,1
1011,171,3,3,422,0.422,1,0,NoLoss,NoLoss,1
1011,172,2,2,279,0.279,1,1,Cntrl ,Cntrl ,1
1011,173,2,3,405,0.405,0,0,NoLoss,Cntrl ,1
1011,174,NA,1,0,0,0,0,Gain  ,NA   ,1
1011,175,3,3,427,0.427,1,0,NoLoss,NoLoss,1
1011,176,NA,2,0,0,0,0,Cntrl ,NA   ,1
1011,177,1,1,280,0.28,1,1,Gain  ,Gain  ,1
1011,178,3,3,297,0.297,1,1,NoLoss,NoLoss,1
1011,179,2,2,249,0.249,1,1,Cntrl ,Cntrl ,1
1011,180,1,1,235,0.235,1,1,Gain  ,Gain  ,1
2011,1,NA,3,0,0,0,0,Gain  ,NA   ,1
2011,2,1,1,381,0.381,1,1,NoLoss,NoLoss,1
2011,3,2,2,348,0.348,1,1,Cntrl ,Cntrl ,1
2011,4,1,1,379,0.379,1,1,NoLoss,NoLoss,1
2011,5,2,2,332,0.332,1,1,Cntrl ,Cntrl ,1
2011,6,3,3,398,0.398,1,1,Gain  ,Gain  ,1
2011,7,2,2,389,0.389,1,1,Cntrl ,Cntrl ,1
2011,8,2,1,350,0.35,0,0,NoLoss,Cntrl ,1
2011,9,3,3,448,0.448,1,0,Gain  ,Gain  ,1
2011,10,2,2,327,0.327,1,1,Cntrl ,Cntrl ,1
2011,11,3,3,360,0.36,1,1,Gain  ,Gain  ,1
2011,12,1,1,356,0.356,1,1,NoLoss,NoLoss,1
2011,13,2,3,303,0.303,0,0,Gain  ,Cntrl ,1
