Response_Code,rt,stim_Code,gainVal,lossVal,Response_Type,stim,Money_Amount,rt_sec,Accuracy,Accuracy_inTime
0,313.393966891,0,0.5,0.5,Gain  ,Gain  ,0.5,0.313393966891,1,1
0,264.770705707,0,0.5,0.5,Gain  ,Gain  ,0.5,0.264770705707,1,1
0,285.583303433,0,0.5,0.5,Gain  ,Gain  ,0.5,0.285583303433,1,1
0,230.125707462,0,0.5,0.5,Gain  ,Gain  ,0.5,0.230125707462,1,1
0,333.91076261,0,0.5,0.5,Gain  ,Gain  ,0.5,0.33391076261,1,1
0,390.955051273,0,0.5,0.5,Gain  ,Gain  ,0.5,0.390955051273,1,1
0,299.145059472,0,0.5,0.5,Gain  ,Gain  ,0.5,0.299145059472,1,1
0,345.993829437,0,0.5,0.5,Gain  ,Gain  ,0.5,0.345993829437,1,1
0,330.562598091,0,0.5,0.5,Gain  ,Gain  ,0.5,0.330562598091,1,1
0,498.203377427,0,0.5,0.5,Gain  ,Gain  ,0.5,0.498203377427,1,0
0,237.783637535,0,0.5,0.5,Gain  ,Gain  ,0.5,0.237783637535,1,1
0,330.915156951,0,0.5,0.5,Gain  ,Gain  ,0.5,0.330915156951,1,1
0,284.639735898,0,0.5,0.5,Gain  ,Gain  ,0.5,0.284639735898,1,1
0,263.1789585,0,0.5,0.5,Gain  ,Gain  ,0.5,0.2631789585,1,1
0,363.561599419,0,0.5,0.5,Gain  ,Gain  ,0.5,0.363561599419,1,1
0,336.353243287,0,0.5,0.5,Gain  ,Gain  ,0.5,0.336353243287,1,1
0,297.204386919,0,0.5,0.5,Gain  ,Gain  ,0.5,0.297204386919,1,1
0,323.275123802,0,0.5,0.5,Gain  ,Gain  ,0.5,0.323275123802,1,1
0,225.652103498,0,0.5,0.5,Gain  ,Gain  ,0.5,0.225652103498,1,1
0,366.322084164,0,0.5,0.5,Gain  ,Gain  ,0.5,0.366322084164,1,1
0,344.899824671,0,0.5,0.5,Gain  ,Gain  ,0.5,0.344899824671,1,1
0,316.178083042,0,0.5,0.5,Gain  ,Gain  ,0.5,0.316178083042,1,1
0,477.034865264,0,0.5,0.5,Gain  ,Gain  ,0.5,0.477034865264,1,0
0,311.107671716,0,0.5,0.5,Gain  ,Gain  ,0.5,0.311107671716,1,1
0,353.113891547,0,0.5,0.5,Gain  ,Gain  ,0.5,0.353113891547,1,1
0,304.610322666,0,0.5,0.5,Gain  ,Gain  ,0.5,0.304610322666,1,1
0,240.454644157,0,0.5,0.5,Gain  ,Gain  ,0.5,0.240454644157,1,1
0,267.642322289,0,0.5,0.5,Gain  ,Gain  ,0.5,0.267642322289,1,1
0,373.52471821,0,0.5,0.5,Gain  ,Gain  ,0.5,0.37352471821,1,1
0,311.251285768,0,0.5,0.5,Gain  ,Gain  ,0.5,0.311251285768,1,1
0,357.813883337,0,0.5,0.5,Gain  ,Gain  ,0.5,0.357813883337,1,1
0,396.281255075,0,0.5,0.5,Gain  ,Gain  ,0.5,0.396281255075,1,1
0,312.278160515,0,0.5,0.5,Gain  ,Gain  ,0.5,0.312278160515,1,1
0,373.616997037,0,0.5,0.5,Gain  ,Gain  ,0.5,0.373616997037,1,1
0,343.998247504,0,0.5,0.5,Gain  ,Gain  ,0.5,0.343998247504,1,1
0,250.908456312,0,0.5,0.5,Gain  ,Gain  ,0.5,0.250908456312,1,1
0,360.781458127,0,0.5,0.5,Gain  ,Gain  ,0.5,0.360781458127,1,1
0,378.347798697,0,0.5,0.5,Gain  ,Gain  ,0.5,0.378347798697,1,1
0,380.877789156,0,0.5,0.5,Gain  ,Gain  ,0.5,0.380877789156,1,1
0,316.924221936,0,0.5,0.5,Gain  ,Gain  ,0.5,0.316924221936,1,1
0,356.058306181,0,0.5,0.5,Gain  ,Gain  ,0.5,0.356058306181,1,1
0,413.523792401,0,0.5,0.5,Gain  ,Gain  ,0.5,0.413523792401,1,0
0,455.629088584,0,0.5,0.5,Gain  ,Gain  ,0.5,0.455629088584,1,0
0,308.82149685,0,0.5,0.5,Gain  ,Gain  ,0.5,0.30882149685,1,1
0,264.509230811,0,0.5,0.5,Gain  ,Gain  ,0.5,0.264509230811,1,1
0,314.890322868,0,0.5,0.5,Gain  ,Gain  ,0.5,0.314890322868,1,1
0,280.297369063,0,0.5,0.5,Gain  ,Gain  ,0.5,0.280297369063,1,1
0,366.819357076,0,0.5,0.5,Gain  ,Gain  ,0.5,0.366819357076,1,1
0,284.07130838,0,0.5,0.5,Gain  ,Gain  ,0.5,0.28407130838,1,1
0,280.655102044,0,0.5,0.5,Gain  ,Gain  ,0.5,0.280655102044,1,1
0,247.349900284,0,0.5,0.5,Gain  ,Gain  ,0.5,0.247349900284,1,1
0,309.330501815,0,0.5,0.5,Gain  ,Gain  ,0.5,0.309330501815,1,1
0,499.319443161,0,0.5,0.5,Gain  ,Gain  ,0.5,0.499319443161,1,0
0,336.362565769,0,0.5,0.5,Gain  ,Gain  ,0.5,0.336362565769,1,1
0,321.6702775,0,0.5,0.5,Gain  ,Gain  ,0.5,0.3216702775,1,1
0,233.055075025,0,0.5,0.5,Gain  ,Gain  ,0.5,0.233055075025,1,1
0,349.310770733,0,0.5,0.5,Gain  ,Gain  ,0.5,0.349310770733,1,1
0,338.108489504,0,0.5,0.5,Gain  ,Gain  ,0.5,0.338108489504,1,1
0,327.01378478,0,0.5,0.5,Gain  ,Gain  ,0.5,0.32701378478,1,1
0,332.076500294,0,0.5,0.5,Gain  ,Gain  ,0.5,0.332076500294,1,1
0,255.11293357,0,0.5,0.5,Gain  ,Gain  ,0.5,0.25511293357,1,1
0,298.872367084,0,0.5,0.5,Gain  ,Gain  ,0.5,0.298872367084,1,1
0,355.883375967,0,0.5,0.5,Gain  ,Gain  ,0.5,0.355883375967,1,1
0,305.606044343,0,0.5,0.5,Gain  ,Gain  ,0.5,0.305606044343,1,1
0,349.048549287,0,0.5,0.5,Gain  ,Gain  ,0.5,0.349048549287,1,1
