subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
2011,74,319,1,1,0,1,1,Gain  ,Gain  ,1,0.319
2011,76,317,1,1,0,1,1,NoLoss,NoLoss,1,0.317
2011,78,329,1,1,0,1,1,Gain  ,Gain  ,1,0.329
2011,80,301,1,1,0,0,0,Gain  ,NoLoss,1,0.301
2011,82,415,1,1,0,1,0,Cntrl ,Cntrl ,1,0.415
2011,84,417,1,1,0,1,0,NoLoss,NoLoss,1,0.417
2011,86,337,1,1,0,1,1,Gain  ,Gain  ,1,0.337
2011,88,367,1,1,0,1,1,Cntrl ,Cntrl ,1,0.367
2011,90,304,1,1,0,1,1,Gain  ,Gain  ,1,0.304
2011,92,272,1,1,0,1,1,NoLoss,NoLoss,1,0.272
2011,94,261,1,1,0,1,1,Cntrl ,Cntrl ,1,0.261
2011,96,355,1,1,0,1,1,NoLoss,NoLoss,1,0.355
2011,98,290,1,1,0,1,1,NoLoss,NoLoss,1,0.29
2011,100,412,1,1,0,1,0,Gain  ,Gain  ,1,0.412
2011,102,372,1,1,0,1,1,NoLoss,NoLoss,1,0.372
2011,104,375,1,1,0,1,1,NoLoss,NoLoss,1,0.375
2011,106,248,1,1,0,1,1,Gain  ,Gain  ,1,0.248
2011,108,376,1,1,0,1,1,NoLoss,NoLoss,1,0.376
2011,110,424,1,1,0,1,0,NoLoss,NoLoss,1,0.424
2011,112,459,1,1,0,1,0,NoLoss,NoLoss,1,0.459
2011,114,353,1,1,0,1,1,Cntrl ,Cntrl ,1,0.353
2011,116,450,1,1,0,1,0,Cntrl ,Cntrl ,1,0.45
2011,118,488,1,1,0,1,0,Cntrl ,Cntrl ,1,0.488
2011,120,356,1,1,0,1,1,Gain  ,Gain  ,1,0.356
2011,122,315,1,1,0,1,1,Cntrl ,Cntrl ,1,0.315
2011,124,457,1,1,0,1,0,Cntrl ,Cntrl ,1,0.457
2011,126,449,1,1,0,1,0,NoLoss,NoLoss,1,0.449
2011,128,325,1,1,0,1,1,Cntrl ,Cntrl ,1,0.325
2011,130,333,1,1,0,1,1,Cntrl ,Cntrl ,1,0.333
2011,132,465,1,1,0,0,0,NoLoss,Cntrl ,1,0.465
2011,134,256,1,1,0,1,1,Cntrl ,Cntrl ,1,0.256
2011,136,355,1,1,0,1,1,Gain  ,Gain  ,1,0.355
2011,138,350,1,1,0,1,1,NoLoss,NoLoss,1,0.35
2011,140,429,1,1,0,1,0,NoLoss,NoLoss,1,0.429
2011,142,293,1,1,0,1,1,Gain  ,Gain  ,1,0.293
2011,144,319,1,1,0,1,1,NoLoss,NoLoss,1,0.319
2011,146,336,1,1,0,1,1,Cntrl ,Cntrl ,1,0.336
2011,148,406,1,1,0,0,0,Gain  ,NoLoss,1,0.406
2011,150,455,1,1,0,1,0,NoLoss,NoLoss,1,0.455
2011,152,388,1,1,0,0,0,NoLoss,Cntrl ,1,0.388
2011,154,311,1,1,0,1,1,NoLoss,NoLoss,1,0.311
2011,156,0,1,1,0,0,0,Gain  ,NA   ,1,0
2011,158,334,1,1,0,1,1,NoLoss,NoLoss,1,0.334
2011,160,395,1,1,0,1,1,NoLoss,NoLoss,1,0.395
2011,162,311,1,1,0,1,1,Gain  ,Gain  ,1,0.311
